text,intent
show me chest exercises,workout
what are good arm workouts,workout
I want to build muscle,workout
exercises for legs,workout
how to lose weight,workout
cardio workouts,workout
strength training,workout
yoga poses,workout
abs workout,workout
back exercises,workout
bicep workouts,workout
tricep exercises,workout
shoulder workout,workout
glute exercises,workout
calf workouts,workout
full body workout,workout
home workouts,workout
gym exercises,workout
push ups,workout
squats,workout
deadlifts,workout
bench press,workout
running exercises,workout
swimming workout,workout
cycling training,workout
HIIT workout,workout
beginner exercises,workout
advanced workouts,workout
morning workout,workout
evening exercises,workout
calories in apple,nutrition
nutrition facts for chicken,nutrition
how much protein in eggs,nutrition
carbs in rice,nutrition
healthy food options,nutrition
diet plan,nutrition
nutrition information,nutrition
calories in banana,nutrition
protein content,nutrition
fat content in avocado,nutrition
sugar in fruits,nutrition
vitamins in vegetables,nutrition
meal calories,nutrition
food nutrition,nutrition
healthy eating,nutrition
calorie count,nutrition
nutritional value,nutrition
macro nutrients,nutrition
micro nutrients,nutrition
daily calorie intake,nutrition
protein requirements,nutrition
carbohydrate needs,nutrition
fat intake,nutrition
fiber content,nutrition
calcium in milk,nutrition
iron in spinach,nutrition
sodium content,nutrition
cholesterol levels,nutrition
antioxidants in berries,nutrition
omega 3 fatty acids,nutrition
calculate my BMI,bmi
what is BMI,bmi
body mass index,bmi
am I overweight,bmi
healthy weight,bmi
BMI calculator,bmi
check my weight status,bmi
ideal weight,bmi
weight category,bmi
underweight or overweight,bmi
body weight analysis,bmi
weight assessment,bmi
height weight ratio,bmi
weight classification,bmi
obesity check,bmi
normal weight range,bmi
weight evaluation,bmi
health weight status,bmi
BMI range,bmi
weight index,bmi
I need motivation,motivation
encourage me,motivation
fitness motivation,motivation
I'm feeling lazy,motivation
inspire me,motivation
motivational quote,motivation
keep me going,motivation
I want to give up,motivation
boost my confidence,motivation
positive message,motivation
cheer me up,motivation
I'm tired,motivation
struggling with fitness,motivation
need encouragement,motivation
feeling demotivated,motivation
help me stay focused,motivation
losing motivation,motivation
fitness inspiration,motivation
workout motivation,motivation
diet motivation,motivation
health inspiration,motivation
success stories,motivation
fitness goals,motivation
stay committed,motivation
overcome laziness,motivation
push through,motivation
don't quit,motivation
believe in yourself,motivation
you can do it,motivation
never give up,motivation
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good evening,greeting
howdy,greeting
what's up,greeting
how are you,greeting
greetings,greeting
nice to meet you,greeting
